calories,cook_time_minutes,created_at,cuisine,description,difficulty,id,ingredients,prep_time_minutes,region,servings,steps,tags,title,total_time,likes,views,attempts,step_count,complexity_score,engagement_score
534.0,21,2025-11-24T08:07:45.122326,Indo-Chinese,Dal Tadka prepared in a simple home-style method.,medium,dal_tadka_012,"[{'name': 'lentils', 'quantity': '1 cup'}, {'name': 'garam masala', 'quantity': '1 tsp'}, {'name': 'coriander powder', 'quantity': '½ cup'}, {'name': 'garlic', 'quantity': '1 tsp'}, {'name': 'red chilli powder', 'quantity': '2 tsp'}, {'name': 'ginger', 'quantity': '2 tsp'}, {'name': 'tomato', 'quantity': '2 tsp'}]",24,North India,4,"[{'order': 1, 'text': 'Wash all ingredients for Dal Tadka.'}, {'order': 2, 'text': 'Heat oil on medium flame.'}, {'order': 3, 'text': 'Add onions, ginger, garlic; sauté until golden.'}, {'order': 4, 'text': 'Add lentils and other vegetables.'}, {'order': 5, 'text': 'Add spices and cook until masala thickens.'}, {'order': 6, 'text': 'Add water, cover and simmer for 10 minutes.'}, {'order': 7, 'text': 'Adjust salt and mix well.'}]",['vegetarian'],Dal Tadka,45,2.0,13,5.0,7,52,18.5
407.0,24,2025-11-24T08:07:45.653462,Indo-Chinese,Vegetable Fried Rice prepared in a simple home-style method.,hard,vegetable_fried_rice_019,"[{'name': 'mixed vegetables', 'quantity': '2 cups'}, {'name': 'butter', 'quantity': '1 tbsp'}, {'name': 'turmeric', 'quantity': '½ cup'}, {'name': 'tomato', 'quantity': '2 tsp'}, {'name': 'oil', 'quantity': '½ cup'}, {'name': 'beans', 'quantity': '1 tsp'}, {'name': 'garam masala', 'quantity': '2 tsp'}, {'name': 'garlic', 'quantity': '2 tsp'}, {'name': 'capsicum', 'quantity': '1 tbsp'}]",23,North India,2,"[{'order': 1, 'text': 'Wash all ingredients for Vegetable Fried Rice.'}, {'order': 2, 'text': 'Heat oil on medium flame.'}, {'order': 3, 'text': 'Add onions, ginger, garlic; sauté until golden.'}, {'order': 4, 'text': 'Add mixed vegetables and other vegetables.'}, {'order': 5, 'text': 'Add spices and cook until masala thickens.'}, {'order': 6, 'text': 'Add water, cover and simmer for 10 minutes.'}, {'order': 7, 'text': 'Adjust salt and mix well.'}]",['vegetarian'],Vegetable Fried Rice,47,2.0,12,2.0,7,54,12.0
502.0,27,2025-11-24T08:07:44.935962,North Indian,Chole Masala prepared in a simple home-style method.,medium,chole_masala_010,"[{'name': 'chickpeas', 'quantity': '2 cups'}, {'name': 'capsicum', 'quantity': '2 tbsp'}, {'name': 'garlic', 'quantity': '1 tbsp'}, {'name': 'tomato', 'quantity': '2 tbsp'}, {'name': 'oil', 'quantity': '1 tsp'}, {'name': 'beans', 'quantity': '2 tbsp'}, {'name': 'garam masala', 'quantity': '1 tsp'}, {'name': 'ginger', 'quantity': '½ cup'}, {'name': 'butter', 'quantity': '2 tsp'}]",15,West India,4,"[{'order': 1, 'text': 'Wash all ingredients for Chole Masala.'}, {'order': 2, 'text': 'Heat oil on medium flame.'}, {'order': 3, 'text': 'Add onions, ginger, garlic; sauté until golden.'}, {'order': 4, 'text': 'Add chickpeas and other vegetables.'}, {'order': 5, 'text': 'Add spices and cook until masala thickens.'}, {'order': 6, 'text': 'Add water, cover and simmer for 10 minutes.'}]",['vegetarian'],Chole Masala,42,3.0,11,1.0,6,48,10.5
538.0,31,2025-11-24T08:07:45.535321,Indo-Chinese,Veg Manchurian prepared in a simple home-style method.,hard,veg_manchurian_018,"[{'name': 'mixed vegetables', 'quantity': '1 cup'}, {'name': 'oil', 'quantity': '2 tbsp'}, {'name': 'turmeric', 'quantity': '2 tbsp'}, {'name': 'red chilli powder', 'quantity': '1 tsp'}, {'name': 'butter', 'quantity': '2 tsp'}, {'name': 'ginger', 'quantity': '2 tsp'}, {'name': 'peas', 'quantity': '½ cup'}, {'name': 'beans', 'quantity': '2 tbsp'}, {'name': 'coriander powder', 'quantity': '2 tsp'}]",19,West India,3,"[{'order': 1, 'text': 'Wash all ingredients for Veg Manchurian.'}, {'order': 2, 'text': 'Heat oil on medium flame.'}, {'order': 3, 'text': 'Add onions, ginger, garlic; sauté until golden.'}, {'order': 4, 'text': 'Add mixed vegetables and other vegetables.'}, {'order': 5, 'text': 'Add spices and cook until masala thickens.'}, {'order': 6, 'text': 'Add water, cover and simmer for 10 minutes.'}, {'order': 7, 'text': 'Adjust salt and mix well.'}]",['vegetarian'],Veg Manchurian,50,0.0,11,1.0,7,57,7.5
323.0,32,2025-11-24T08:07:44.355707,South Indian,Palak Paneer prepared in a simple home-style method.,medium,palak_paneer_004,"[{'name': 'mixed vegetables', 'quantity': '1 cup'}, {'name': 'garlic', 'quantity': '½ cup'}, {'name': 'ginger', 'quantity': '2 tsp'}, {'name': 'onion', 'quantity': '1 tbsp'}, {'name': 'oil', 'quantity': '1 tsp'}, {'name': 'red chilli powder', 'quantity': '1 tbsp'}, {'name': 'tomato', 'quantity': '½ cup'}]",11,West India,4,"[{'order': 1, 'text': 'Wash all ingredients for Palak Paneer.'}, {'order': 2, 'text': 'Heat oil on medium flame.'}, {'order': 3, 'text': 'Add onions, ginger, garlic; sauté until golden.'}, {'order': 4, 'text': 'Add mixed vegetables and other vegetables.'}, {'order': 5, 'text': 'Add spices and cook until masala thickens.'}, {'order': 6, 'text': 'Add water, cover and simmer for 10 minutes.'}]",['vegetarian'],Palak Paneer,43,1.0,10,1.0,6,49,8.0
401.0,40,2025-11-24T08:07:45.719439,North Indian,Bhindi Masala prepared in a simple home-style method.,easy,bhindi_masala_020,"[{'name': 'okra', 'quantity': '200g'}, {'name': 'tomato', 'quantity': '2 tsp'}, {'name': 'coriander powder', 'quantity': '½ cup'}, {'name': 'beans', 'quantity': '2 tsp'}, {'name': 'garlic', 'quantity': '1 tsp'}, {'name': 'butter', 'quantity': '1 tsp'}, {'name': 'turmeric', 'quantity': '1 tsp'}, {'name': 'garam masala', 'quantity': '1 tbsp'}]",13,West India,3,"[{'order': 1, 'text': 'Wash all ingredients for Bhindi Masala.'}, {'order': 2, 'text': 'Heat oil on medium flame.'}, {'order': 3, 'text': 'Add onions, ginger, garlic; sauté until golden.'}, {'order': 4, 'text': 'Add okra and other vegetables.'}, {'order': 5, 'text': 'Add spices and cook until masala thickens.'}, {'order': 6, 'text': 'Add water, cover and simmer for 10 minutes.'}, {'order': 7, 'text': 'Adjust salt and mix well.'}, {'order': 8, 'text': 'Serve hot with roti or rice.'}]",['vegetarian'],Bhindi Masala,53,0.0,10,1.0,8,61,7.0
383.0,39,2025-11-24T08:07:44.682278,South Indian,Veg Biryani prepared in a simple home-style method.,medium,veg_biryani_007,"[{'name': 'mixed vegetables', 'quantity': '1 cup'}, {'name': 'turmeric', 'quantity': '2 tsp'}, {'name': 'onion', 'quantity': '2 tbsp'}, {'name': 'butter', 'quantity': '½ cup'}, {'name': 'garlic', 'quantity': '1 tsp'}, {'name': 'oil', 'quantity': '½ cup'}, {'name': 'red chilli powder', 'quantity': '½ cup'}, {'name': 'beans', 'quantity': '2 tbsp'}]",14,West India,4,"[{'order': 1, 'text': 'Wash all ingredients for Veg Biryani.'}, {'order': 2, 'text': 'Heat oil on medium flame.'}, {'order': 3, 'text': 'Add onions, ginger, garlic; sauté until golden.'}, {'order': 4, 'text': 'Add mixed vegetables and other vegetables.'}, {'order': 5, 'text': 'Add spices and cook until masala thickens.'}, {'order': 6, 'text': 'Add water, cover and simmer for 10 minutes.'}, {'order': 7, 'text': 'Adjust salt and mix well.'}]",['vegetarian'],Veg Biryani,53,5.0,9,2.0,7,60,13.5
550.0,26,2025-11-24T08:07:45.189981,South Indian,Dal Makhani prepared in a simple home-style method.,easy,dal_makhani_013,"[{'name': 'lentils', 'quantity': '150g'}, {'name': 'garlic', 'quantity': '1 tbsp'}, {'name': 'peas', 'quantity': '1 tbsp'}, {'name': 'onion', 'quantity': '2 tbsp'}, {'name': 'red chilli powder', 'quantity': '1 tbsp'}, {'name': 'turmeric', 'quantity': '½ cup'}, {'name': 'beans', 'quantity': '1 tsp'}, {'name': 'garam masala', 'quantity': '1 tbsp'}, {'name': 'carrot', 'quantity': '2 tsp'}]",22,West India,4,"[{'order': 1, 'text': 'Wash all ingredients for Dal Makhani.'}, {'order': 2, 'text': 'Heat oil on medium flame.'}, {'order': 3, 'text': 'Add onions, ginger, garlic; sauté until golden.'}, {'order': 4, 'text': 'Add lentils and other vegetables.'}, {'order': 5, 'text': 'Add spices and cook until masala thickens.'}, {'order': 6, 'text': 'Add water, cover and simmer for 10 minutes.'}]",['vegetarian'],Dal Makhani,48,2.0,9,1.0,6,54,8.5
475.0,30,2025-11-24T08:07:45.296239,Indo-Chinese,Masala Dosa prepared in a simple home-style method.,medium,masala_dosa_014,"[{'name': 'mixed vegetables', 'quantity': '2 cups'}, {'name': 'coriander powder', 'quantity': '2 tsp'}, {'name': 'beans', 'quantity': '2 tbsp'}, {'name': 'ginger', 'quantity': '½ cup'}, {'name': 'turmeric', 'quantity': '1 tsp'}, {'name': 'carrot', 'quantity': '½ cup'}, {'name': 'oil', 'quantity': '1 tsp'}, {'name': 'red chilli powder', 'quantity': '2 tbsp'}]",23,South India,4,"[{'order': 1, 'text': 'Wash all ingredients for Masala Dosa.'}, {'order': 2, 'text': 'Heat oil on medium flame.'}, {'order': 3, 'text': 'Add onions, ginger, garlic; sauté until golden.'}, {'order': 4, 'text': 'Add mixed vegetables and other vegetables.'}, {'order': 5, 'text': 'Add spices and cook until masala thickens.'}, {'order': 6, 'text': 'Add water, cover and simmer for 10 minutes.'}]",['vegetarian'],Masala Dosa,53,1.0,9,1.0,6,59,7.5
386.0,24,2025-11-24T08:07:45.413590,South Indian,Upma prepared in a simple home-style method.,easy,upma_016,"[{'name': 'mixed vegetables', 'quantity': '2 cups'}, {'name': 'turmeric', 'quantity': '1 tsp'}, {'name': 'coriander powder', 'quantity': '1 tbsp'}, {'name': 'carrot', 'quantity': '2 tsp'}, {'name': 'red chilli powder', 'quantity': '2 tbsp'}, {'name': 'butter', 'quantity': '½ cup'}, {'name': 'garlic', 'quantity': '1 tbsp'}, {'name': 'onion', 'quantity': '1 tbsp'}, {'name': 'peas', 'quantity': '1 tbsp'}]",23,South India,3,"[{'order': 1, 'text': 'Wash all ingredients for Upma.'}, {'order': 2, 'text': 'Heat oil on medium flame.'}, {'order': 3, 'text': 'Add onions, ginger, garlic; sauté until golden.'}, {'order': 4, 'text': 'Add mixed vegetables and other vegetables.'}, {'order': 5, 'text': 'Add spices and cook until masala thickens.'}, {'order': 6, 'text': 'Add water, cover and simmer for 10 minutes.'}, {'order': 7, 'text': 'Adjust salt and mix well.'}]",['vegetarian'],Upma,47,2.0,9,3.0,7,54,12.5
